Date,Prob,Position,Strat_Ret
2024-09-20,0.479159,-1,-0.0023375749611005414
2024-09-21,0.50795966,0,0.0
2024-09-22,0.52539945,1,-0.0037625690717466927
2024-09-23,0.5158837,0,0.0
2024-09-24,0.5148656,0,-0.0
2024-09-25,0.5029961,0,0.0
2024-09-26,0.5173445,0,0.0
2024-09-27,0.5059867,0,0.0
2024-09-28,0.5040646,0,-0.0
2024-09-29,0.51512635,0,-0.0
2024-09-30,0.5297771,1,-0.04063624492665931
2024-10-01,0.52982426,1,-0.002577086316775542
2024-10-02,0.50337636,0,0.0
2024-10-03,0.5854644,1,0.02170883041003728
2024-10-04,0.6257272,1,-0.00045108906551724495
2024-10-05,0.6151898,1,0.012202629820996201
2024-10-06,0.59390724,1,-0.009531284031326389
2024-10-07,0.59114575,1,-0.0010211885021863328
2024-10-08,0.5621481,1,-0.024830482976427176
2024-10-09,0.5795404,1,-0.005119452832531935
2024-10-10,0.56747913,1,0.03603669892744918
2024-10-11,0.5949238,1,0.010596362001929363
2024-10-12,0.59249306,1,-0.0053332935199566596
2024-10-13,0.5665554,1,0.04985708823410627
2024-10-14,0.5569834,1,0.014872066015212413
2024-10-15,0.5546919,1,0.008105370403983361
2024-10-16,0.5065722,0,-0.0
2024-10-17,0.5077265,0,0.0
2024-10-18,0.5315691,1,-0.0007309621248523259
2024-10-19,0.5360049,1,0.00951888488044817
2024-10-20,0.53503937,1,-0.02425888605349007
2024-10-21,0.52506804,1,0.0007195659176902162
2024-10-22,0.51687443,0,-0.0
2024-10-23,0.52370363,1,0.02268451715263484
2024-10-24,0.5192848,0,-0.0
2024-10-25,0.52150995,1,0.005896224370562871
2024-10-26,0.5175473,0,0.0
2024-10-27,0.5374099,1,0.02812846721520796
2024-10-28,0.5461956,1,0.03888698282937757
2024-10-29,0.5371196,1,-0.005399473668343945
2024-10-30,0.4987136,0,-0.0
2024-10-31,0.48557335,0,-0.0
2024-11-01,0.50423104,0,-0.0
2024-11-02,0.511307,0,-0.0
2024-11-03,0.5781224,1,-0.013555167807772158
2024-11-04,0.58085394,1,0.02218393837390412
2024-11-05,0.56929207,1,0.08560223984821512
2024-11-06,0.5810794,1,0.0037760095920657505
2024-11-07,0.49391845,0,0.0
2024-11-08,0.49741745,0,0.0
2024-11-09,0.5207112,1,0.04703330369431591
2024-11-10,0.5410751,1,0.09803226217915882
2024-11-11,0.50349915,0,-0.0
2024-11-12,0.52054155,1,0.027178568661184198
2024-11-13,0.42776415,-1,0.03432634643790914
2024-11-14,0.40439564,-1,-0.041568314974823425
2024-11-15,0.38626868,-1,0.004902030249246929
2024-11-16,0.4798448,-1,0.008101554091419313
2024-11-17,0.5771784,1,0.006744588166355547
2024-11-18,0.6085894,1,0.02020817024435305
2024-11-19,0.6184999,1,0.021177619537080205
2024-11-20,0.6025609,1,0.04185951709945262
2024-11-21,0.57785845,1,0.005830172847894076
2024-11-22,0.5200739,1,-0.012409323871574746
2024-11-23,0.50424933,0,0.0
2024-11-24,0.5103412,0,-0.0
2024-11-25,0.50670254,0,-0.0
2024-11-26,0.47433478,-1,-0.04151142667791282
2024-11-27,0.4790328,-1,0.002288480239917697
2024-11-28,0.588725,1,0.01880928130380514
2024-11-29,0.5534066,1,-0.010852955416106586
2024-11-30,0.5577002,1,0.008029148706736931
2024-12-01,0.5717702,1,-0.013931627244584067
2024-12-02,0.5597931,1,9.463180488125695e-05
2024-12-03,0.5405506,1,0.028161417666881416
2024-12-04,0.53374493,1,-0.01679234704122157
2024-12-05,0.52639514,1,0.028424916087496886
2024-12-06,0.44714206,-1,-0.0009134510578209996
2024-12-07,0.4942,0,0.0
2024-12-08,0.54758704,1,-0.03864784755258232
2024-12-09,0.5752141,1,-0.007050855728157901
2024-12-10,0.55780816,1,0.04585110055392514
2024-12-11,0.5956919,1,-0.011144290310743151
2024-12-12,0.58551294,1,0.014099129370686553
2024-12-13,0.58347464,1,-4.190407172619906e-05
2024-12-14,0.58174324,1,0.02957210835064263
2024-12-15,0.57927036,1,0.015149918553743596
2024-12-16,0.5433253,1,0.0007076596818099129
2024-12-17,0.5016302,0,-0.0
2024-12-18,0.49925837,0,-0.0
2024-12-19,0.45159593,-1,-0.003519077229743537
2024-12-20,0.4348132,-1,0.005263536125710258
2024-12-21,0.5872092,1,-0.02188095438284901
2024-12-22,0.61061275,1,-0.0032072803231183965
2024-12-23,0.636533,1,0.039087452998785556
2024-12-24,0.6633043,1,0.007733974670366026
2024-12-25,0.6078682,1,-0.03727485759295436
2024-12-26,0.62634146,1,-0.01570409519397809
2024-12-27,0.5983071,1,0.010558907393903796
2024-12-28,0.6197522,1,-0.016524020398176582
2024-12-29,0.64150023,1,-0.010144822242994745
2024-12-30,0.61414206,1,0.008412972329420844
2024-12-31,0.6006295,1,0.010796745473918477
2025-01-01,0.5924535,1,0.02498347626229524
2025-01-02,0.5784837,1,0.012189085912690157
2025-01-03,0.5499393,1,0.00047170321374159335
2025-01-04,0.5343411,1,0.001455967374787927
2025-01-05,0.5197145,0,0.0
2025-01-06,0.5226598,1,-0.05303702286757633
2025-01-07,0.5156133,0,-0.0
2025-01-08,0.46598637,-1,0.026738745131460816
2025-01-09,0.4913229,0,0.0
2025-01-10,0.5338737,1,-0.0013323046178590012
2025-01-11,0.62296987,1,-0.0005808240981644022
2025-01-12,0.61519176,1,-9.477411717486941e-05
2025-01-13,0.6012789,1,0.021191710994825055
2025-01-14,0.5766194,1,0.03995787586321273
2025-01-15,0.5654739,1,-0.005088181069371945
2025-01-16,0.5462725,1,0.04009244384371839
2025-01-17,0.502814,0,0.0
2025-01-18,0.49159887,0,-0.0
2025-01-19,0.47902018,-1,-0.009120676170877553
2025-01-20,0.4498859,-1,-0.03727627951194209
2025-01-21,0.39339468,-1,0.023228630058235156
2025-01-22,0.4946884,0,0.0
2025-01-23,0.5296145,1,0.009197843721146091
2025-01-24,0.5827271,1,-0.0011797688916675218
2025-01-25,0.61479294,1,-0.02051364123722352
2025-01-26,0.63170433,1,-0.005248302947392055
2025-01-27,0.6338831,1,-0.00734755111376838
2025-01-28,0.62538457,1,0.023385612440133215
2025-01-29,0.60860205,1,0.009495592181071395
2025-01-30,0.61641985,1,-0.022142853251164527
2025-01-31,0.5816169,1,-0.017668774175154188
2025-02-01,0.5589656,1,-0.029598970722466058
2025-02-02,0.5817236,1,0.03646031368487303
2025-02-03,0.57968515,1,-0.03582039951426249
2025-02-04,0.5946052,1,-0.011840104206887518
2025-02-05,0.56940687,1,-0.0006013456532248081
2025-02-06,0.6287841,1,-0.0004925900520273397
2025-02-07,0.67588496,1,-0.0006432703479849328
2025-02-08,0.6727063,1,0.00018672162550374357
2025-02-09,0.6737359,1,0.009985664239646478
2025-02-10,0.6469947,1,-0.017107486030289196
2025-02-11,0.62850267,1,0.021604863590941464
2025-02-12,0.587649,1,-0.012976962582638805
2025-02-13,0.5926113,1,0.009194298389878524
2025-02-14,0.559463,1,0.0007092833675137415
2025-02-15,0.5587119,1,-0.014988732643856638
2025-02-16,0.55815494,1,-0.0035239568777999416
2025-02-17,0.54505503,1,-0.001130937870179614
2025-02-18,0.58145165,1,0.010114995490717066
2025-02-19,0.5705711,1,0.017036938024453396
2025-02-20,0.5543051,1,-0.021832868521335577
2025-02-21,0.5324787,1,0.0038294476827775473
2025-02-22,0.49599588,0,-0.0
2025-02-23,0.53302157,1,-0.05011535775172125
2025-02-24,0.5490525,1,-0.03187783350742482
2025-02-25,0.5326983,1,-0.05124925785668909
2025-02-26,0.5430728,1,0.005427257747781736
2025-02-27,0.558708,1,-0.004242797559089215
2025-02-28,0.6646644,1,0.020123266049919198
2025-03-01,0.6027317,1,0.09106564168828868
2025-03-02,0.6225772,1,-0.08925376118948612
2025-03-03,0.5753182,1,0.01223478265846054
2025-03-04,0.5923351,1,0.03737651951263447
2025-03-05,0.6361821,1,-0.007467940338037054
2025-03-06,0.6651459,1,-0.035425823298239754
2025-03-07,0.6568043,1,-0.006696198157303769
2025-03-08,0.641012,1,-0.06576620160006473
2025-03-09,0.68747926,1,-0.026845356703792466
2025-03-10,0.6242419,1,0.053713906024732805
2025-03-11,0.60212916,1,0.008968502033038601
2025-03-12,0.63286805,1,-0.03112391755655611
2025-03-13,0.588125,1,0.034739262047201416
2025-03-14,0.61163896,1,0.004220972745167093
2025-03-15,0.63914573,1,-0.021136472120496245
2025-03-16,0.6199776,1,0.017234917011719673
2025-03-17,0.6092552,1,-0.015534869726955195
2025-03-18,0.60417795,1,0.04873441757894435
2025-03-19,0.5838375,1,-0.030663070683642123
2025-03-20,0.5637765,1,-0.0015994092488549737
2025-03-21,0.49947357,0,-0.0
2025-03-22,0.51545465,0,0.0
2025-03-23,0.5340997,1,0.01631162582836565
2025-03-24,0.5211848,1,-0.0012040641846587025
2025-03-25,0.47534445,-1,0.005550150091920325
2025-03-26,0.48370364,0,0.0
2025-03-27,0.48743108,0,-0.0
2025-03-28,0.48417744,0,-0.0
2025-03-29,0.44705942,-1,0.003133210305684936
2025-03-30,0.4505034,-1,-0.0019403425512951966
2025-03-31,0.5139884,0,0.0
2025-04-01,0.5485852,1,-0.031516618721199686
2025-04-02,0.54093087,1,0.008408938788086611
2025-04-03,0.493549,0,0.0
2025-04-04,0.54323554,1,-0.004203368759459135
2025-04-05,0.56790763,1,-0.06309499122461922
2025-04-06,0.5602894,1,0.00930554243469642
2025-04-07,0.5031577,0,-0.0
2025-04-08,0.59926826,1,0.0792271898213657
2025-04-09,0.59170514,1,-0.03708812786599812
2025-04-10,0.64830315,1,0.04682832264786211
2025-04-11,0.61829793,1,0.02196948907660708
2025-04-12,0.61928266,1,-0.01794804235026729
2025-04-13,0.64423287,1,0.009879167909975919
2025-04-14,0.6315113,1,-0.01126515660201265
2025-04-15,0.6346186,1,0.0046088222541115645
2025-04-16,0.62529254,1,0.010859844983458261
2025-04-17,0.59594023,1,-0.005586282238964962
2025-04-18,0.57632375,1,0.0071048834511910006
2025-04-19,0.54650563,1,0.001200895852997235
2025-04-20,0.5283279,1,0.027066519704468342
2025-04-21,0.5041703,0,0.0
2025-04-22,0.48764536,0,0.0
2025-04-23,0.46792147,-1,-0.0030840074520417163
