Date,Actual,SMA,Close,Vote_Score,Position,Strat_Ret
2024-01-08,-0.018075510415030107,41707.9282,46951.04,1,1.0,-0.018075510415030107
2024-01-09,0.01172860796383382,41881.1526,46110.0,-3,-1.0,-0.01172860796383382
2024-01-10,-0.006771062230729273,42099.399399999995,46653.99,1,1.0,-0.006771062230729273
2024-01-11,-0.0798528754667809,42278.0158,46339.16,1,1.0,-0.0798528754667809
2024-01-12,0.0015242196406752171,42387.7848,42782.73,1,1.0,0.0015242196406752171
2024-01-13,-0.02638212870563945,42490.4732,42847.99,1,1.0,-0.02638212870563945
2024-01-14,0.01848861088034885,42569.506799999996,41732.35,-1,0.0,0.0
2024-01-15,0.014637901828299413,42670.78020000001,42511.1,1,1.0,0.014637901828299413
2024-01-16,-0.008423584725432613,42788.68519999999,43137.95,-1,0.0,-0.0
2024-01-17,-0.03445139745815894,42887.82979999999,42776.1,-1,0.0,-0.0
2024-01-18,0.007990013891329613,42957.287000000004,41327.5,1,1.0,0.007990013891329613
2024-01-19,0.0008880084302503328,43035.98840000001,41659.03,1,1.0,0.0008880084302503328
2024-01-20,-0.002778941360300473,43096.258799999996,41696.04,1,1.0,-0.002778941360300473
2024-01-21,-0.049606002668420156,43138.8584,41580.33,-3,-1.0,0.049606002668420156
2024-01-22,0.008294955472882228,43130.77359999999,39568.02,-3,-1.0,-0.008294955472882228
2024-01-23,0.004683034141144241,43088.903600000005,39897.6,-1,0.0,0.0
2024-01-24,-0.003092975166303934,43009.13479999999,40084.88,1,1.0,-0.003092975166303934
2024-01-25,0.04555239092628425,42933.1028,39961.09,-1,0.0,0.0
2024-01-26,0.00707902280697713,42904.110199999996,41823.51,1,1.0,0.00707902280697713
2024-01-27,-0.002128775638974226,42863.102999999996,42120.63,1,1.0,-0.002128775638974226
2024-01-28,0.029806119942710457,42829.4522,42031.06,-3,-1.0,-0.029806119942710457
2024-01-29,-0.008385579459892248,42819.71600000001,43302.7,-3,-1.0,0.008385579459892248
2024-01-30,-0.008444749797383772,42853.47,42941.1,1,1.0,-0.008444749797383772
2024-01-31,0.011742435619609937,42875.222200000004,42580.0,-1,0.0,0.0
2024-02-01,0.0027134001651212595,42879.5004,43082.94,-3,-1.0,-0.0027134001651212595
2024-02-02,-0.004382505832045197,42883.0552,43200.0,1,1.0,-0.004382505832045197
2024-02-03,-0.010005694851545816,42904.471,43011.09,1,1.0,-0.010005694851545816
2024-02-04,0.002950351987088814,42910.568,42582.88,-3,-1.0,-0.002950351987088814
2024-02-05,0.009095988310426472,42937.249,42708.7,-1,0.0,0.0
2024-02-06,0.028605054685199374,42946.07199999999,43098.95,1,1.0,0.028605054685199374
2024-02-07,0.02095275967005496,42987.5442,44349.6,-1,0.0,0.0
2024-02-08,0.03991206359421791,43019.938599999994,45288.65,3,2.0,0.07982412718843582
2024-02-09,0.013033381077871586,43085.358,47132.77,3,2.0,0.026066762155743172
2024-02-10,0.01142945972783506,43160.999,47751.09,3,2.0,0.02285891945567012
2024-02-11,0.03293568144658824,43252.955599999994,48299.99,3,2.0,0.06587136289317648
2024-02-12,-0.004370351494182536,43391.471,49917.27,3,2.0,-0.008740702988365072
2024-02-13,0.041300218103198914,43513.9402,49699.59,3,2.0,0.08260043620639783
2024-02-14,0.0016364577734705157,43699.665,51795.17,3,2.0,0.0032729155469410315
2024-02-15,0.004694246184426713,43868.687999999995,51880.0,3,2.0,0.009388492368853425
2024-02-16,-0.009279917800631372,44059.895,52124.11,3,2.0,-0.018559835601262745
2024-02-17,0.009540032294676114,44251.4088,51642.64,3,2.0,0.019080064589352227
2024-02-18,-0.00698552773070659,44451.3566,52137.67,3,2.0,-0.01397105546141318
2024-02-19,0.009306488030900633,44641.1796,51774.73,3,2.0,0.018612976061801265
2024-02-20,-0.007865510526459354,44802.765,52258.82,3,2.0,-0.01573102105291871
2024-02-21,-0.01087817419895304,44940.8146,51849.39,3,2.0,-0.02175634839790608
2024-02-22,-0.010668655359765033,45109.6784,51288.42,3,2.0,-0.021337310719530066
2024-02-23,0.016109250933854777,45241.539399999994,50744.15,3,2.0,0.032218501867709554
2024-02-24,0.0031100616788884284,45390.0016,51568.22,3,2.0,0.006220123357776857
2024-02-25,0.051753212367562834,45545.21220000001,51728.85,3,2.0,0.10350642473512567
2024-02-26,0.045937275755513214,45756.1612,54476.47,3,2.0,0.09187455151102643
2024-02-27,0.09037342510456357,45957.887200000005,57037.34,3,2.0,0.18074685020912715
2024-02-28,-0.021060790861507746,46284.3292,62432.1,3,2.0,-0.04212158172301549
2024-02-29,0.02035257099534111,46573.86899999999,61130.98,3,2.0,0.04070514199068222
2024-03-01,-0.006442143609634661,46894.8438,62387.9,1,1.0,-0.006442143609634661
2024-03-02,0.018012936948412033,47278.934799999995,61987.28,1,1.0,0.018012936948412033
2024-03-03,0.07817243529189463,47684.254400000005,63113.97,3,2.0,0.15634487058378926
2024-03-04,-0.06855316030923639,48214.5216,68245.71,-3,-1.0,0.06855316030923639
2024-03-05,0.03621451680304252,48638.7798,63724.01,1,1.0,0.03621451680304252
2024-03-06,0.011273945248864211,49097.5016,66074.04,-1,0.0,0.0
2024-03-07,0.019282486315176334,49578.443,66823.17,-1,0.0,0.0
2024-03-08,0.0027716745979517753,50114.3768,68124.19,1,1.0,0.0027716745979517753
