number,value,params_dropout,params_l2_factor,params_lr,params_recurrent_dropout,params_units_1,params_units_2,user_attrs_actual_epochs,user_attrs_auc_overfit_gap,user_attrs_best_val_loss,user_attrs_train_a_accuracy,user_attrs_train_a_auc,user_attrs_train_a_gini,user_attrs_train_a_sensitivity,user_attrs_train_a_specificity,user_attrs_train_b_cond_wr,user_attrs_train_b_coverage,user_attrs_train_b_n_traded,user_attrs_units_2_effective,user_attrs_val_a_accuracy,user_attrs_val_a_auc,user_attrs_val_a_gini,user_attrs_val_a_sensitivity,user_attrs_val_a_specificity,user_attrs_val_b_cond_wr,user_attrs_val_b_coverage,user_attrs_val_b_n_traded,state
105,0.5342529654804745,0.1,0.001,0.002,0.2,512,64,13,0.0066,0.69255,0.541,0.5409,0.0818,0.9598,0.0513,0.5476,0.0165,42,64,0.5303,0.5343,0.0685,0.9563,0.0549,0.75,0.0115,4,COMPLETE
106,0.535185925629748,0.2,0.001,0.002,0.30000000000000004,512,64,12,0.0149,0.69316,0.541,0.5501,0.1001,0.9927,0.0128,0.6006,0.1253,318,64,0.5245,0.5352,0.0704,0.9781,0.0183,0.5517,0.0836,29,COMPLETE
107,0.5626749300279887,0.2,0.001,0.002,0.30000000000000004,512,256,16,-0.0171,0.6897,0.5429,0.5456,0.0912,0.7222,0.3333,0.592,0.2762,701,256,0.5591,0.5627,0.1253,0.7268,0.372,0.5536,0.3228,112,COMPLETE
108,0.5280221244835399,0.2,1e-05,0.002,0.30000000000000004,512,256,9,0.0392,0.69439,0.5437,0.5672,0.1344,0.9803,0.0333,0.6252,0.2281,579,256,0.5389,0.528,0.056,0.9945,0.0305,0.5965,0.1643,57,COMPLETE
109,0.5487471677995468,0.2,0.001,0.002,0.4,512,256,18,0.0027,0.69193,0.5414,0.5514,0.1029,0.9035,0.1179,0.6316,0.1348,342,256,0.5389,0.5487,0.0975,0.8907,0.1463,0.5714,0.121,42,COMPLETE
110,0.5742369718779156,0.2,0.001,0.002,0.4,512,256,31,-0.0096,0.68851,0.554,0.5646,0.1292,0.8509,0.2068,0.5854,0.3944,1001,256,0.5418,0.5742,0.1485,0.8087,0.2439,0.6107,0.3775,131,COMPLETE
111,0.5357190457150474,0.2,0.001,0.002,0.4,512,256,14,0.0054,0.69388,0.5402,0.5411,0.0822,0.9993,0.0034,0.6269,0.076,193,256,0.5274,0.5357,0.0714,1.0,0.0,0.6,0.0576,20,COMPLETE
112,0.4995335199253632,0.2,0.001,0.002,0.4,512,256,11,0.0494,0.6954,0.5402,0.5489,0.0979,0.9912,0.0128,0.641,0.0154,39,256,0.5331,0.4995,-0.0009,0.9945,0.0183,1.0,0.0058,2,COMPLETE
113,0.5123617219778756,0.2,0.001,0.002,0.4,512,256,28,0.0426,0.69335,0.5544,0.5549,0.1099,0.9496,0.0923,0.6114,0.2687,682,256,0.5389,0.5124,0.0247,0.9235,0.1098,0.5612,0.2824,98,COMPLETE
114,0.4978675196588031,0.2,0.001,0.002,0.4,512,256,22,0.05,0.6938,0.5402,0.5478,0.0957,0.9985,0.0043,0.6364,0.091,231,256,0.5274,0.4979,-0.0043,1.0,0.0,0.5217,0.0663,23,COMPLETE
